,Grant Amount,Award Date,Parent Company,Parent Headquarters State,Ownership Structure,CEO Pay,Award Type
0,685100000,20200423,JetBlue Airways,New York,publicly traded,"$3,955,523",grant
1,277653312,20200508,Northwell Health,New York,non-profit,$0,grant
2,203180447,20200508,New York University,New York,non-profit,$0,grant
3,156708592,20200508,Montefiore Medical Center,New York,non-profit,$0,grant
4,152747325,20200508,NewYork-Presbyterian,New York,non-profit,$0,grant
5,143251512,20200508,NewYork-Presbyterian,New York,non-profit,$0,grant
6,140754861,20200508,Mount Sinai Medical Center (NY),New York,non-profit,$0,grant
7,137531543,20200508,Northwell Health,New York,non-profit,$0,grant
8,131500615,20200508,Maimonides Medical Center,New York,non-profit,$0,grant
9,118647057,20200508,NewYork-Presbyterian,New York,non-profit,$0,grant
10,111346403,20200508,NYC Health and Hospitals,New York,non-profit,$0,grant
11,108038388,20200508,New York University,New York,non-profit,$0,grant
12,92120455,20200506,New York University,New York,non-profit,$0,grant
13,91535710,20200508,Bronxcare Health System,New York,privately held,$0,grant
14,91357434,20200508,Northwell Health,New York,non-profit,$0,grant
15,89200836,20200508,Montefiore Medical Center,New York,non-profit,$0,grant
16,86952151,20200508,NewYork-Presbyterian,New York,non-profit,$0,grant
17,86705276,20200508,NYC Health and Hospitals,New York,non-profit,$0,grant
18,83300041,20200508,Stony Brook University,New York,non-profit,$0,grant
19,78931188,20200508,NYC Health and Hospitals,New York,non-profit,$0,grant
20,76926186,20200508,NewYork-Presbyterian,New York,non-profit,$0,grant
21,76138988,20200508,NYC Health and Hospitals,New York,non-profit,$0,grant
22,75862418,20200508,Jamaica Hospital Medical Center,New York,non-profit,$0,grant
23,75340417,20200508,NuHealth - Nassau University Medical Center,New York,non-profit,$0,grant
24,75309433,20200508,NYC Health and Hospitals,New York,non-profit,$0,grant
25,72958948,20200508,Montefiore Medical Center,New York,non-profit,$0,grant
26,68397632,20200508,Mount Sinai Medical Center (NY),New York,non-profit,$0,grant
27,66453550,20200508,Northwell Health,New York,non-profit,$0,grant
28,66414764,20200508,NYC Health and Hospitals,New York,non-profit,$0,grant
29,66309962,20200508,Brookdale Hospital Medical Center,New York,non-profit,$0,grant
30,66231250,20200508,NYC Health and Hospitals,New York,non-profit,$0,grant
31,65283067,20200508,White Plains Hospital,New York,non-profit,$0,grant
32,64596069,20200508,Mount Sinai Medical Center (NY),New York,non-profit,$0,grant
33,64048724,20200506,Memorial Sloan Kettering Cancer Center,New York,non-profit,$0,grant
34,63732310,20200508,Mount Sinai Medical Center (NY),New York,non-profit,$0,grant
35,60843431,20200508,Southside Hospital,New York,non-profit,$0,grant
36,59878471,20200508,Wyckoff Heights Medical Center,New York,non-profit,$0,grant
37,54809930,20200508,Mount Sinai Medical Center (NY),New York,non-profit,$0,grant
38,52864813,20200508,Good Samaritan Hospital (NY),New York,non-profit,$0,grant
39,51718227,20200508,Richmond University Medical Center,New York,non-profit,$0,grant
40,49115384,20200508,Westchester Medical Center,New York,non-profit,$0,grant
41,48482885,20200508,Flushing Hospital & Medical Center,New York,non-profit,$0,grant
42,47024442,20200508,University Hospital of Brooklyn at SUNY Downstate Medical Center,New York,non-profit,$0,grant
43,46958400,20200508,Mount Sinai Medical Center (NY),New York,non-profit,$0,grant
44,46953443,20200508,St. Barnabas Hospital,New York,non-profit,$0,grant
45,46720663,20200508,Mount Sinai Medical Center (NY),New York,non-profit,$0,grant
46,45537948,20200506,New York City Health And Hospitals Corporation,New York,non-profit,$0,grant
47,45212167,20200508,NewYork-Presbyterian,New York,non-profit,$0,grant
48,44828287,20200508,Montefiore Medical Center,New York,non-profit,$0,grant
49,44597579,20200508,Huntington Hospital,New York,non-profit,$0,grant
50,43813351,20200506,University Of Rochester,New York,non-profit,$0,grant
51,42296604,20200508,NYC Health and Hospitals,New York,non-profit,$0,grant
52,42083162,20200508,St Johns Episcopal Hospital at South Shore,New York,non-profit,$0,grant
53,41187495,20200508,St Francis Hospital - The Heart Center,New York,non-profit,$0,grant
54,39900635,20200508,NYC Health and Hospitals,New York,non-profit,$0,grant
55,39262378,20200508,Good Samaritan Hospital (NY),New York,non-profit,$0,grant
56,36893063,20200506,Montefiore Medical Center,New York,non-profit,$0,grant
57,36591244,20200508,New York Community Hospital Of Brooklyn Inc,New York,privately held,$0,grant
58,36164527,20200508,Montefiore Medical Center,New York,non-profit,$0,grant
59,35200497,20200508,Brooklyn Hospital Center,New York,non-profit,$0,grant
60,33812553,20200506,New York University,New York,non-profit,$0,grant
61,33253535,20200508,NewYork-Presbyterian,New York,non-profit,$0,grant
62,33005252,20200508,Mercy Medical Center (NY),New York,non-profit,$0,grant
63,32850519,20200508,St John'S Riverside Hospital,New York,non-profit,$0,grant
64,32183293,20200506,Northwell Health,New York,non-profit,$0,grant
65,30844021,20200508,Kingsbrook Jewish Medical Center,New York,non-profit,$0,grant
66,29281202,20200506,Stony Brook University,New York,non-profit,$0,grant
67,28539057,20200508,NYC Health and Hospitals,New York,non-profit,$0,grant
68,27970631,20200508,Montefiore Medical Center,New York,non-profit,$0,grant
69,27961352,20200506,Northwell Health,New York,non-profit,$0,grant
70,27638224,20200508,Orange Regional Medical Center,New York,non-profit,$0,grant
71,27517019,20200508,NYC Health and Hospitals,New York,non-profit,$0,grant
72,26275226,20200506,Kaleida Health,New York,privately held,$0,grant
73,26095810,20200508,St Catherine Of Siena Medical Center,New York,non-profit,$0,grant
74,25741448,20200508,Northwell Health,New York,non-profit,$0,grant
75,24669957,20200506,Westchester County Health Care Corporation,New York,privately held,$0,grant
76,24003213,20200508,Sisters Of Charity Hospital Of Buffalo New York,New York,privately held,$0,grant
77,23529682,20200508,St Lukes Cornwall Hospital - Newburgh Campus,New York,non-profit,$0,grant
78,22242252,20200506,New York University,New York,non-profit,$0,grant
79,21941397,20200508,Saint Josephs Medical Center,New York,non-profit,$0,grant
80,21783587,20200508,Interfaith Medical Center,New York,privately held,$0,grant
81,21476241,20200508,NewYork-Presbyterian,New York,non-profit,$0,grant
82,21125982,20200508,Vassar Brothers Hospital,New York,privately held,$0,grant
83,20639470,20200508,Strong Memorial Hospital,New York,non-profit,$0,grant
84,20345755,20200506,Albany Medical Center Hospital,New York,non-profit,$0,grant
85,20312952,20200508,Phelps Memorial Hospital Association,New York,privately held,$0,grant
86,20305366,20200506,Suny Health Science Center At Syracuse,New York,non-profit,$0,grant
87,19640036,20200508,John T Mather Memorial Hospital,New York,non-profit,$0,grant
88,19502808,20200508,NewYork-Presbyterian,New York,non-profit,$0,grant
89,19481752,20200506,New York Society For The Relief Of Ruptured & Crippled Maintaining,New York,non-profit,$0,grant
90,19054940,20200506,Maimonides Medical Center,New York,non-profit,$0,grant
91,18877091,20200508,Rochester General Hospital,New York,non-profit,$0,grant
92,18381295,20200506,St Francis Hospital,New York,non-profit,$0,grant
93,18320235,20200508,Memorial Sloan Kettering Cancer Center,New York,non-profit,$0,grant
94,18302572,20200508,Peconic Bay Medical Center,New York,non-profit,$0,grant
95,18287983,20200508,St Joseph Hospital (NY),New York,non-profit,$0,grant
96,17225944,20200508,Albany Medical Center Hospital,New York,non-profit,$0,grant
97,16626768,20200508,Glen Cove Hospital,New York,non-profit,$0,grant
98,16295632,20200508,Northern Westchester Hospital,New York,non-profit,$0,grant
99,15580690,20200508,Buffalo General Medical Center (FKA Buffalo General Hospital),New York,non-profit,$0,grant
100,15555172,20200506,Northwell Health,New York,non-profit,$0,grant
101,15174844,20200508,Montefiore Medical Center,New York,non-profit,$0,grant
102,14810932,20200508,Millard Fillmore Suburban Hospital,New York,non-profit,$0,grant
103,13383760,20200506,Northwell Health,New York,non-profit,$0,grant
104,12509642,20200506,Good Samaritan Hospital (NY),New York,non-profit,$0,grant
105,12502673,20200506,United Health Services Hospitals Inc,New York,privately held,$0,grant
106,12162173,20200508,Golisano Childrens Hospital,New York,non-profit,$0,grant
107,11906577,20200506,Vassar Brothers Hospital,New York,privately held,$0,grant
108,11731850,20200508,St Charles Hospital,New York,non-profit,$0,grant
109,11455061,20200506,Erie County Medical Center Corporation,New York,privately held,$0,grant
110,11361718,20200506,South Nassau Communities Hospital,New York,privately held,$0,grant
111,11300315,20200506,Orange Regional Medical Center,New York,non-profit,$0,grant
112,11232869,20200506,Rochester General Hospital,New York,non-profit,$0,grant
113,11181812,20200508,Burke Rehabilitation Hospital,New York,non-profit,$0,grant
114,11040072,20200508,Mercy Hospital Of Buffalo,New York,non-profit,$0,grant
115,10699633,20200508,ArchCare at Calvary Hospital - Bronx Campus,New York,non-profit,$0,grant
116,10623282,20200508,St Peters Hospital,New York,non-profit,$0,grant
117,9818054,20200506,North Shore Hematology Oncology Associates Pc,New York,privately held,$0,grant
118,8876468,20200506,Southside Hospital,New York,non-profit,$0,grant
119,8713096,20200506,Nassau Health Care Corporation,New York,privately held,$0,grant
120,8628836,20200506,Jamaica Hospital,New York,non-profit,$0,grant
121,8414133,20200506,NewYork-Presbyterian,New York,non-profit,$0,grant
122,8177259,20200506,Huntington Hospital Association,New York,non-profit,$0,grant
123,8109758,20200506,Crouse Health Hospital Inc,New York,privately held,$0,grant
124,7688760,20200506,John T Mather Memorial Hospital,New York,non-profit,$0,grant
125,7317550,20200506,Brooklyn Hospital Center,New York,non-profit,$0,grant
126,7099902,20200506,Caremount Medical Pc,New York,privately held,$0,grant
127,7047728,20200506,Saratoga Hospital,New York,non-profit,$0,grant
128,6938176,20200506,Champlain Valley Physicians Hospital Medical Center,New York,privately held,$0,grant
129,6842819,20200506,Good Samaritan Hospital Of Suffern,New York,privately held,$0,grant
130,6372989,20200506,St Catherine Of Siena Medical Center,New York,non-profit,$0,grant
131,6286325,20200506,Visiting Nurse Service Of New York Home Care Ii,New York,privately held,$0,grant
132,6123773,20200506,Good Samaritan Hospital (IN),New York,non-profit,$0,grant
133,5735976,20200506,Central Suffolk Hospital,New York,non-profit,$0,grant
134,5729916,20200506,Crystal Run Healthcare Physicians Llp,New York,privately held,$0,grant
135,5721587,20200506,Calvary Hospital Inc.,New York,privately held,$0,grant
136,5502861,20200506,Faxton - St Lukes Healthcare,New York,non-profit,$0,grant
137,5459945,20200506,Visiting Nurse Service Of New York Hospice Care,New York,privately held,$0,grant
138,5349758,20200506,Ellis Hospital,New York,non-profit,$0,grant
139,5301212,20200506,Unity Hospital Of Rochester,New York,non-profit,$0,grant
140,5252574,20200506,Bronxcare Health System,New York,privately held,$0,grant
141,5000303,20200506,Mercy Hospital Of Buffalo,New York,non-profit,$0,grant
142,4891464,20200506,Glens Falls Hospital Inc,New York,privately held,$0,grant
143,4638640,20200506,Brookdale Hospital Medical Center,New York,non-profit,$0,grant
144,4541412,20200506,Phelps Memorial Hospital Association,New York,privately held,$0,grant
145,4536973,20200506,Samaritan Medical Center,New York,non-profit,$0,grant
146,4506042,20200506,Flushing Hospital & Medical Center,New York,non-profit,$0,grant
147,4497629,20200506,St Charles Hospital Corp,New York,privately held,$0,grant
148,4322447,20200506,Mercy Medical Center (NY),New York,non-profit,$0,grant
149,4283465,20200506,St John'S Riverside Hospital,New York,non-profit,$0,grant
150,4253413,20200506,Nursing Sisters Home Care,New York,privately held,$0,grant
151,4246768,20200506,Kingsbrook Jewish Medical Center,New York,non-profit,$0,grant
152,4093066,20200506,Richmond Medical Center,New York,non-profit,$0,grant
153,4024874,20200506,Chs Physician Partners Pc,New York,privately held,$0,grant
154,3959039,20200506,Northwell Health,New York,non-profit,$0,grant
155,3950055,20200506,L Woerner Inc,New York,privately held,$0,grant
156,3858614,20200506,Episcopal Health Services Inc,New York,privately held,$0,grant
157,3819447,20200506,Northern Westchester Hospital Association,New York,privately held,$0,grant
158,3732002,20200506,Good Samaritan Hospital (NE),New York,non-profit,$0,grant
159,3674406,20200506,St Joseph'S Hospital Yonkers,New York,non-profit,$0,grant
160,3652795,20200506,St. Barnabas Hospital,New York,non-profit,$0,grant
161,3616659,20200506,Canton-Potsdam Hospital,New York,privately held,$0,grant
162,3486048,20200506,New York Oncology Hematology Pc,New York,privately held,$0,grant
163,3374722,20200506,Cayuga Medical Center At Ithaca,New York,non-profit,$0,grant
164,3323904,20200506,Olean General Hospital,New York,non-profit,$0,grant
165,3174309,20200506,New York Community Hospital Of Brooklyn Inc,New York,privately held,$0,grant
166,3173670,20200506,The Winifred Masterson Burke Rehabilitation Hospital,New York,privately held,$0,grant
167,3054079,20200506,Dewitt Rehabilitation And Nursing Center Inc,New York,privately held,$0,grant
168,3052983,20200506,Interfaith Medical Center,New York,privately held,$0,grant
169,3017860,20200506,Hematology-Oncology Associates Of Cny,New York,privately held,$0,grant
170,2826539,20200506,Hospice Care Network,New York,privately held,$0,grant
171,2811833,20200506,Columbia Memorial Hospital,New York,non-profit,$0,grant
172,2766194,20200506,Wsnchs North,New York,privately held,$0,grant
173,2731765,20200506,Boro Park Operating Co Llc,New York,privately held,$0,grant
174,2726338,20200506,Putnam Hospital Center,New York,privately held,$0,grant
175,2700538,20200506,Glen Cove Hospital,New York,non-profit,$0,grant
176,2674147,20200506,Sisters Of Charity Hospital Of Buffalo New York,New York,privately held,$0,grant
177,2671292,20200506,Medical Associates Of Englewood Pc,New York,privately held,$0,grant
178,2658383,20200506,Wyckoff Heights Medical Center,New York,non-profit,$0,grant
179,2656947,20200506,Stony Brook Internists,New York,privately held,$0,grant
180,2528614,20200506,Northern Dutchess Hospital,New York,non-profit,$0,grant
181,2422072,20200506,Albany Medical College,New York,non-profit,$0,grant
182,2331353,20200506,Healthalliance Hospital Broadway Campus,New York,privately held,$0,grant
183,2253514,20200506,The Rogosin Institute,New York,privately held,$0,grant
184,2192133,20200506,Tcprnc,New York,privately held,$0,grant
185,2189634,20200506,Catskill Regional Medical Center,New York,non-profit,$0,grant
186,2177208,20200506,Avista Capital Partners,New York,privately held,$0,grant
187,2166756,20200506,Geneva General Hospital Inc,New York,privately held,$0,grant
188,2102287,20200506,Fox Rehabilitation Physical Therapy Services Llc,New York,privately held,$0,grant
189,2072890,20200506,Adirondack Medical Center,New York,non-profit,$0,grant
190,2048089,20200506,Nathan Littauer Hospital Association,New York,non-profit,$0,grant
191,2018013,20200506,Professional Occupational & Physical Therapy Pllc,New York,privately held,$0,grant
192,2000577,20200506,Seniorcare Emergency Medical Services Inc,New York,privately held,$0,grant
193,1991405,20200506,Oswego Hospital,New York,non-profit,$0,grant
194,1912082,20200506,WMCHealth Network,New York,privately held,$0,grant
195,1871587,20200506,Niagara Falls Memorial Medical Center,New York,non-profit,$0,grant
196,1859386,20200506,Hospice Buffalo,New York,privately held,$0,grant
197,1846567,20200506,Kenmore Mercy Hospital,New York,non-profit,$0,grant
198,1841998,20200506,Northwell Health,New York,non-profit,$0,grant
199,1803048,20200506,Sight Medical Doctors Pllc,New York,privately held,$0,grant
200,1797619,20200506,Visiting Nursing Association Of Western New York,New York,privately held,$0,grant
201,1779836,20200506,Community Memorial Hospital,New York,non-profit,$0,grant
202,1775154,20200506,Department Of Medicine Medical Serv Grp At Suny Hlth Sci Ctr Syr In,New York,non-profit,$0,grant
203,1752475,20200506,Auburn Community Hospital,New York,non-profit,$0,grant
204,1749260,20200506,Buffalo Medical Group,New York,privately held,$0,grant
205,1725142,20200506,Parker Jewish Institute For Health Care And Rehabilitation,New York,privately held,$0,grant
206,1706724,20200506,Cold Spring Acquisition Llc,New York,privately held,$0,grant
207,1693362,20200506,150 Riverside Op Llc,New York,privately held,$0,grant
208,1641397,20200506,Alice Hyde Medical Center,New York,non-profit,$0,grant
209,1618348,20200506,Claxton-Hepburn Medical Center,New York,non-profit,$0,grant
210,1611587,20200506,Northwell Health,New York,non-profit,$0,grant
211,1603269,20200506,Slocum Dickson Medical Group Pllc,New York,privately held,$0,grant
212,1601059,20200506,The Rosalind And Joseph Gurwin Jewish Geratric Center Of Long Island,New York,privately held,$0,grant
213,1556068,20200506,Suffolk Restorative Therapy & Nursing,New York,privately held,$0,grant
214,1524319,20200506,Rome Memorial Hospital,New York,non-profit,$0,grant
215,1519287,20200506,Dry Harbor Hrf Inc,New York,privately held,$0,grant
216,1510696,20200506,Jopal Bronx,New York,privately held,$0,grant
217,1508346,20200506,Medstar Surgical & Breathing Equipment,New York,privately held,$0,grant
218,1470140,20200506,WMCHealth Network,New York,privately held,$0,grant
219,1440511,20200506,North American Partners In Anesthesia Llp,New York,privately held,$0,grant
220,1432896,20200506,Kfg Operating Two,New York,privately held,$0,grant
221,1415594,20200506,Shore View Acquisition I Llc,New York,privately held,$0,grant
222,1336609,20200506,St. Anthony Community Hospital,New York,non-profit,$0,grant
223,1335529,20200506,Haym Salomon Home For The Aged,New York,privately held,$0,grant
224,1299765,20200506,Amsterdam Nursing Home Corporation (1992),New York,privately held,$0,grant
225,1289051,20200506,Frederick Ferris Thompson Hospital,New York,non-profit,$0,grant
226,1283337,20200506,Hospice Of New York,New York,privately held,$0,grant
227,1262271,20200506,Newark Wayne Community Hospital,New York,non-profit,$0,grant
228,1260898,20200506,Sheepshead Nursing And Rehabilitation Center Llc,New York,privately held,$0,grant
229,1252818,20200506,Visiting Nurse Services In Westchester,New York,privately held,$0,grant
230,1249544,20200506,Loretto Health And Rehabilitation Center,New York,privately held,$0,grant
231,1247540,20200506,City Medical Of Upper East Side,New York,privately held,$0,grant
232,1231495,20200506,Middletown Medical Pc,New York,privately held,$0,grant
233,1226020,20200506,Sgrnc Llc,New York,privately held,$0,grant
234,1224839,20200506,Hamilton Park Multicare,New York,privately held,$0,grant
235,1218238,20200506,St James Operating Llc,New York,privately held,$0,grant
236,1211883,20200506,Hudson Valley Hospice Inc.,New York,privately held,$0,grant
237,1204191,20200506,Brookhaven Health Care Facility Llc,New York,privately held,$0,grant
238,1199572,20200506,Carillon Nursing And Rehabilitation Center,New York,privately held,$0,grant
239,1196302,20200506,Our Lady Of Consolation Care Center,New York,privately held,$0,grant
240,1194888,20200506,Oneida Health Systems Inc,New York,privately held,$0,grant
241,1192995,20200506,United Memorial Medical Center,New York,non-profit,$0,grant
242,1192040,20200506,Hudson Headwaters Health Network,New York,privately held,$0,grant
243,1160344,20200506,Hudson Valley Hematology Oncology Associates,New York,privately held,$0,grant
244,1156543,20200506,Belair Care Center,New York,privately held,$0,grant
245,1137519,20200506,North Shore-Lij Cardiovascular Medicine Pc,New York,privately held,$0,grant
246,1133952,20200506,Ur Medicine Home Care,New York,privately held,$0,grant
247,1127524,20200506,Doj Operations Associates Llc,New York,privately held,$0,grant
248,1125346,20200506,Schweiger Dermatology Pllc,New York,privately held,$0,grant
249,1119326,20200506,Eastern Niagara Hospital Inc,New York,privately held,$0,grant
250,1111410,20200506,Advanced Radiology Services Pc,New York,privately held,$0,grant
251,1109200,20200506,The Silvercrest Center For Nursing And Rehabilitation,New York,privately held,$0,grant
252,1107664,20200506,Rheumatology Associates Of Li Llp,New York,privately held,$0,grant
253,1102871,20200506,Premier Medical Group Of The Hudson Valley Pc,New York,privately held,$0,grant
254,1101000,20200506,East Northport Residential Health Care Facility,New York,privately held,$0,grant
255,1097330,20200506,Hackensack University Medical Group Pc,New York,privately held,$0,grant
